,zillow_id,address,zipcode,sqft,lot,bed,bath,home_type,year_built,last_sold_date,last_sold_price
820,25063449.0,"7863 LANDALE AV, DUBLIN, CA",94568.0,1038.0,8812.0,3.0,2.0,SingleFamily,1960.0,11/30/1993,76000.0
821,25063465.0,"7796 GARDELLA DR, DUBLIN, CA",94568.0,2091.0,9333.0,4.0,2.0,SingleFamily,1960.0,09/18/2013,550000.0
822,25063466.0,"7784 GARDELLA DR, DUBLIN, CA",94568.0,1038.0,6998.0,3.0,2.0,SingleFamily,1960.0,06/04/2010,459000.0
823,25065546.0,"6661 SPRUCE LN, DUBLIN, CA",94568.0,1060.0,5587.0,3.0,1.5,SingleFamily,1965.0,02/13/2003,368000.0
824,25065545.0,"6653 SPRUCE LN, DUBLIN, CA",94568.0,1280.0,5398.0,3.0,2.0,SingleFamily,1966.0,09/10/1997,195000.0
825,25065544.0,"6645 SPRUCE LN, DUBLIN, CA",94568.0,1464.0,5397.0,3.0,2.0,SingleFamily,1965.0,02/23/2018,885000.0
826,25065543.0,"6637 SPRUCE LN, DUBLIN, CA",94568.0,1602.0,5399.0,4.0,2.0,SingleFamily,1965.0,06/30/1997,205000.0
827,25063546.0,"7711 FIREBRAND DR, DUBLIN, CA",94568.0,1038.0,6706.0,3.0,2.0,SingleFamily,1960.0,07/06/2015,600000.0
828,25062455.0,"7278 KOLB PL, DUBLIN, CA",94568.0,1791.0,7847.0,3.0,2.0,SingleFamily,1964.0,03/06/2015,760000.0
829,25062443.0,"11672 MANZANITA LN, DUBLIN, CA",94568.0,1791.0,8071.0,3.0,2.0,SingleFamily,1964.0,03/18/2009,550000.0
830,25062444.0,"11664 MANZANITA LN, DUBLIN, CA",94568.0,1931.0,8083.0,3.0,2.0,SingleFamily,1964.0,05/02/2003,500000.0
831,25062442.0,"11680 MANZANITA LN, DUBLIN, CA",94568.0,1648.0,9394.0,3.0,2.0,SingleFamily,1964.0,08/20/2015,775000.0
832,25062564.0,"11636 CIRCLE WY, DUBLIN, CA",94568.0,1641.0,7414.0,3.0,2.0,SingleFamily,1963.0,,
833,25062557.0,"11650 CIRCLE WY, DUBLIN, CA",94568.0,1936.0,7060.0,4.0,3.0,SingleFamily,1963.0,08/13/2013,800000.0
834,25069836.0,"8530 RHODA PL, DUBLIN, CA",94568.0,2052.0,8000.0,4.0,2.5,SingleFamily,1985.0,05/09/1997,297000.0
835,25069835.0,"8500 RHODA PL, DUBLIN, CA",94568.0,2052.0,8282.0,4.0,2.5,SingleFamily,1985.0,11/06/2002,580000.0
836,25070524.0,"11475 WILDCAT CT, DUBLIN, CA",94568.0,1900.0,9988.0,4.0,2.0,SingleFamily,1986.0,10/04/1993,305000.0
837,25070525.0,"11461 WILDCAT CT, DUBLIN, CA",94568.0,2062.0,10501.0,3.0,2.5,Condominium,1987.0,11/15/2005,880000.0
838,25070526.0,"11433 WILDCAT CT, DUBLIN, CA",94568.0,2062.0,10587.0,4.0,2.5,SingleFamily,1986.0,,
839,25064417.0,"8851 LONGFORD WY, DUBLIN, CA",94568.0,1475.0,6578.0,4.0,2.0,SingleFamily,1963.0,04/07/1999,282000.0
840,25062647.0,"11745 SHADOW DR, DUBLIN, CA",94568.0,2059.0,5670.0,3.0,2.5,SingleFamily,1980.0,03/15/2007,735000.0
841,25070520.0,"7704 CREEKSIDE DR, DUBLIN, CA",94568.0,1425.0,11729.0,3.0,2.0,Condominium,1986.0,05/03/1996,259000.0
