LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.8418308,37.7121944,4263,LOYALTON RD,,DUBLIN,,,94550,985-116-117,6620c6080e6bff75
-121.8418331,37.7124204,4267,LOYALTON RD,,DUBLIN,,,94550,985-116-124,b2ec9c6b28b35eeb
-121.8419448,37.7124205,4271,LOYALTON RD,,DUBLIN,,,94550,985-116-123,fad74607e3f276c8
-121.8428731,37.7119081,4210,LOYALTON RD,,DUBLIN,,,94550,985-116-174,184bbcd7419d2bb1
-121.8427663,37.7119749,4216,LOYALTON RD,,DUBLIN,,,94550,985-116-175,b5d62ad2e9496d0a
-121.8436639,37.7099749,2067,CARBONDALE CI,,DUBLIN,,,94550,985-116-11,6aa7e2ec4052074d
-121.8434719,37.709979,2071,CARBONDALE CI,,DUBLIN,,,94550,985-116-12,ab98219501505f73
-121.8424419,37.7099735,2099,CARBONDALE CI,,DUBLIN,,,94550,985-116-19,2af90082443601f6
-121.8423025,37.7099675,2103,CARBONDALE CI,,DUBLIN,,,94550,985-116-20,a78930cc52e0ecb0
-121.8421536,37.7099673,2107,CARBONDALE CI,,DUBLIN,,,94550,985-116-21,784314a4fbadc0b1
-121.8420001,37.7099748,2111,CARBONDALE CI,,DUBLIN,,,94550,985-116-22,0854b38ff7b34104
-121.8417161,37.7099341,2115,CARBONDALE CI,,DUBLIN,,,94550,985-116-23,73131b8d2e390b38
-121.841718,37.7100409,2119,CARBONDALE CI,,DUBLIN,,,94550,985-116-24,30dbd4dede0efc04
-121.8435628,37.7108897,2191,CARBONDALE CI,,DUBLIN,,,94550,985-116-41,bae10f6ad6ac6d41
-121.8437092,37.7108861,2195,CARBONDALE CI,,DUBLIN,,,94550,985-116-42,f1ca06d866c35a54
-121.8426136,37.7103092,2096,CARBONDALE CI,,DUBLIN,,,94550,985-116-49,0fcbc07bffcd6b6f
-121.8424551,37.7103072,2100,CARBONDALE CI,,DUBLIN,,,94550,985-116-50,cff376d1bc7b53c0
-121.8423039,37.7103108,2106,CARBONDALE CI,,DUBLIN,,,94550,985-116-51,9a94eb7d0acffe51
-121.8421405,37.7103031,2116,CARBONDALE CI,,DUBLIN,,,94550,985-116-52,c2c96f7e7e75dfd8
-121.8433693,37.7105409,2188,CARBONDALE CI,,DUBLIN,,,94550,985-116-61,b35d05f53f14faf5
-121.8432084,37.7105427,2182,CARBONDALE CI,,DUBLIN,,,94550,985-116-60,17076e931a44998f
-121.8567996,37.7081901,4226,MIDLANDS CT,,DUBLIN,,,94568,985-129-49,aa04369075a406b0
-121.8564458,37.7079614,4210,MIDLANDS CT,,DUBLIN,,,94568,985-129-49,89245ba67495f0e2
-121.8565238,37.7079682,4212,MIDLANDS CT,,DUBLIN,,,94568,985-129-49,a54b00993aa5849b
-121.8565941,37.7079819,4216,MIDLANDS CT,,DUBLIN,,,94568,985-129-49,58f888ab3d836d68
-121.8566654,37.7079932,4218,MIDLANDS CT,,DUBLIN,,,94568,985-129-49,b7050795151f78a9
-121.8567319,37.7080077,4220,MIDLANDS CT,,DUBLIN,,,94568,985-129-49,517727ccf209fc75
-121.8568099,37.7080175,4222,MIDLANDS CT,,DUBLIN,,,94568,985-129-49,3fb6a9045fc77f7b
-121.8565064,37.7077516,4198,MIDLANDS CT,,DUBLIN,,,94568,985-129-36,4f3f9e3d083d3ee6
-121.8568267,37.7053872,3920,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-82,7048176e732d65f5
-121.85689,37.7053865,3922,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-82,66d340842d307e21
-121.8569743,37.7053718,3924,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-82,6d8dfc6925fb962d
-121.857049,37.7053618,3926,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-82,ba7b34fa6e9f9268
-121.8566981,37.7056054,3938,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-82,07b6ab5f825495d5
-121.856769,37.7055924,3936,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-82,90ba56f0bbafbccf
-121.8568475,37.7055823,3934,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-82,a6b4ad743a13cd93
-121.8569185,37.7055754,3932,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-82,d321b7cab72e1427
-121.8570633,37.7063847,4006,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-8,68336886517c8e74
-121.8571459,37.7063853,4002,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-8,49e665db05ea3707
-121.856766,37.7065873,4020,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-7,af19458b030a5f2d
-121.8568467,37.7065909,4022,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-7,69c5ba4190192c78
-121.8569197,37.7065901,4026,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-7,7653f25d1f2e23ee
-121.8570004,37.7065907,4028,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-7,28bc15e738694124
-121.8570695,37.7065914,4030,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-7,8a6a0eee4d3a6963
-121.857131,37.7065922,4032,SCOTTSFIELD ST,,DUBLIN,,,94568,985-129-7,50afde43c4fb71f5
-121.8549077,37.7065361,2831,STRINGHAM WY,,DUBLIN,,,94568,985-121-92,215e3fb41f9c27cd
-121.8563564,37.7051736,2998,STRINGHAM WY,,DUBLIN,,,94568,985-121-19,4bb415dbc1404559
-121.8563708,37.7052535,2996,STRINGHAM WY,,DUBLIN,,,94568,985-121-20,430bd054b9e73db7
-121.8563886,37.7053563,2992,STRINGHAM WY,,DUBLIN,,,94568,985-121-21,18e843f15829bc91
-121.854859,37.7064715,2833,STRINGHAM WY,,DUBLIN,,,94568,985-121-93,86e9d8327e75bc36
-121.8548117,37.7064056,2835,STRINGHAM WY,,DUBLIN,,,94568,985-121-94,c08ef92bb44cad2d
-121.8547483,37.7063297,2837,STRINGHAM WY,,DUBLIN,,,94568,985-121-95,c22d40b839695bd0
